Mês	Colocação	Nome do Livro	Autor
1    	1         	Mais esperto que o diabo	Napoleon Hill
1    	2         	Torto arado	Itamar Vieira Junior
1    	3         	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
1    	4         	Amor & gelato	Jenna Evans Welch
1    	5         	Nas pegadas da alemoa	Ilko Minev
1    	6         	É assim que acaba	Colleen Hoover
1    	7         	Do mil ao milhão	Thiago Nigro
1    	8         	A garota do lago	Charlie Donlea
1    	9         	Os sete maridos de Evelyn Hugo	Taylor Jenkins Reid
1    	10        	Os segredos da mente milionária	T. Harv Eker
1    	11        	Vermelho, branco e sangue azul	Casey McQuiston
1    	12        	O poder do hábito	Charles Duhigg
1    	13        	Guardiões de quatro patas	Patrícia Cândido
1    	14        	Minutos de sabedoria	C. Torres Pastorino
1    	15        	Mil beijos de garoto	Tillie Cole
1    	16        	O homem mais rico da Babilônia	George S. Clason
1    	17        	O poder da autorresponsabilidade	Paulo Vieira
1    	18        	A revolução dos bichos	George Orwell
1    	19        	Pai rico, pai pobre - Edição de 20 anos	Robert T. Kiyosak
1    	20        	Lula - Volume 1	Fernando Morais
2    	1         	Nas pegadas da alemoa	Ilko Minev
2    	2         	Mais esperto que o diabo	Napoleon Hill
2    	3         	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
2    	4         	Coragem para crescer	Marcos Freitas
2    	5         	Amor & gelato	Jenna Evans Welch
2    	6         	A garota do lago	Charlie Donlea
2    	7         	É assim que acaba	Colleen Hoover
2    	8         	Do mil ao milhão	Thiago Nigro
2    	9         	O homem mais rico da Babilônia	George S. Clason
2    	10        	Os segredos da mente milionária	T. Harv Eker
2    	11        	Torto arado	Itamar Vieira Junior
2    	12        	Os sete maridos de Evelyn Hugo	Taylor Jenkins Reid
2    	13        	O poder do hábito	Charles Duhigg
2    	14        	Os dois morrem no final	Adam Silvera
2    	15        	365 dias de inteligência	Augusto Cury
2    	16        	Vade Mecum Saraiva 2022 - 33ª Edição	Saraiva
2    	17        	Vermelho, branco e sangue azul	Casey McQuiston
2    	18        	A coragem de ser imperfeito	Brené Brown
2    	19        	Mil beijos de garoto	Tillie Cole
2    	20        	Mindset	Carol Dweck
3    	1         	Vade Mecum Saraiva 2022 - 33ª Edição	Saraiva
3    	2         	Mais esperto que o diabo	Napoleon Hill
3    	3         	É assim que acaba	Colleen Hoover
3    	4         	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
3    	5         	Amor & gelato	Jenna Evans Welch
3    	6         	Os dois morrem no final	Adam Silvera
3    	7         	A garota do lago	Charlie Donlea
3    	8         	Os sete maridos de Evelyn Hugo	Taylor Jenkins Reid
3    	9         	Vermelho, branco e sangue azul	Casey McQuiston
3    	10        	Torto arado	Itamar Vieira Junior
3    	11        	Do mil ao milhão	Thiago Nigro
3    	12        	Nas pegadas da alemoa	Ilko Minev
3    	13        	Demon Slayer: Kimetsu No Yaiba - 1	Koyoharu Gotouge
3    	14        	Todas as suas (im)perfeições	Colleen Hoover
3    	15        	Negócio escalável	Oséias Gomes
3    	16        	Os segredos da mente milionária	T. Harv Eker
3    	17        	8 caminhos que levam à riqueza	Pablo Marçal
3    	18        	Mindset	Carol Dweck
3    	19        	Mil beijos de garoto	Tillie Cole
3    	20        	O poder do hábito	Charles Duhigg
4    	1         	Vade Mecum Saraiva 2022 - 33ª Edição	Saraiva
4    	2         	Mais esperto que o diabo	Napoleon Hill
4    	3         	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
4    	4         	É assim que acaba	Colleen Hoover
4    	5         	8 caminhos que levam à riqueza	Pablo Marçal
4    	6         	Amor & gelato	Jenna Evans Welch
4    	7         	Os sete maridos de Evelyn Hugo	Taylor Jenkins Reid
4    	8         	Torto arado	Itamar Vieira Junior
4    	9         	Especialista em pessoas	Tiago Brunet
4    	10        	Os segredos da mente milionária	T. Harv Eker
4    	11        	Do mil ao milhão	Thiago Nigro
4    	12        	Heartstopper: Dois garotos, um encontro	Alice Oseman
4    	13        	Quem pensa enriquece: o legado	Napoleon Hill
4    	14        	O homem mais rico da Babilônia	George S. Clason
4    	15        	Vermelho, branco e sangue azul	Casey McQuiston
4    	16        	A coragem de ser imperfeito	Brené Brown
4    	17        	O poder da cura	Padre Reginaldo Manzotti
4    	18        	Mil beijos de garoto	Tillie Cole
4    	19        	A garota do lago	Charlie Donlea
