Mês	Colocação	Nome do Livro	Autor
1    	1         	Mais esperto que o diabo	Napoleon Hill
1    	2         	A sutil arte de ligar o foda-se	Mark Manson
1    	3         	Atitude positiva diária	Eduardo Volpato
1    	4         	Do mil ao milhão	Thiago Nigro
1    	5         	Pai rico, pai pobre - Edição de 20 anos	Robert T. Kiyosak
1    	6         	O duque e eu	Julia Quinn
1    	7         	A revolução dos bichos	George Orwell
1    	8         	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
1    	9         	Uma terra prometida	Barack Obama
1    	10        	O poder da autorresponsabilidade	Paulo Vieira
1    	11        	O poder da ação ( edição de luxo)	Paulo Vieira
1    	12        	O homem mais rico da Babilônia	George S. Clason
1    	13        	1984	George Orwell
1    	14        	O poder do hábito	Charles Duhigg
1    	15        	O milagre da manhã	Hal Elrod
1    	16        	O visconde que me amava	Julia Quinn
1    	17        	Mindset	Carol Dweck
1    	18        	Meu diário mágico	Ciranda Cultural
1    	19        	Box Harry Potter	J. K. Rowling
1    	20        	Torto arado	Itamar Vieira Junior
2    	1         	Mais esperto que o diabo	Napoleon Hill
2    	2         	Afirmações positivas para mudar sua realidade	William Sanches
2    	3         	A sutil arte de ligar o foda-se	Mark Manson
2    	4         	Pai rico, pai pobre - Edição de 20 anos	Robert T. Kiyosak
2    	5         	O duque e eu	Julia Quinn
2    	6         	Do mil ao milhão	Thiago Nigro
2    	7         	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
2    	8         	Torto arado	Itamar Vieira Junior
2    	9         	O homem de giz	C. J. Tudor
2    	10        	O poder da autorresponsabilidade	Paulo Vieira
2    	11        	O visconde que me amava	Julia Quinn
2    	12        	A revolução dos bichos	George Orwell
2    	13        	O milagre da manhã	Hal Elrod
2    	14        	O poder da ação ( edição de luxo)	Paulo Vieira
2    	15        	O homem mais rico da Babilônia	George S. Clason
2    	16        	Atitude positiva diária	Eduardo Volpato
2    	17        	O poder do hábito	Charles Duhigg
2    	18        	Medicina do amanhã	Pedro Schestatsky
2    	19        	1984	George Orwell
2    	20        	Mindset	Carol Dweck
3    	1         	Mais esperto que o diabo	Napoleon Hill
3    	2         	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
3    	3         	Torto arado	Itamar Vieira Junior
3    	4         	Pai rico, pai pobre - Edição de 20 anos	Robert T. Kiyosak
3    	5         	Do mil ao milhão	Thiago Nigro
3    	6         	Faça o amor ser fácil	Thamires Hauch
3    	7         	Box Harry Potter	J. K. Rowling
3    	8         	O duque e eu	Julia Quinn
3    	9         	Mindset	Carol Dweck
3    	10        	Atitude positiva diária	Eduardo Volpato
3    	11        	A coragem de ser imperfeito	Brené Brown
3    	12        	Corte de espinhos e rosas	Sarah J. Maas
3    	13        	Gestão profissional na prática	Filipe Colombo
3    	14        	Gotas para os olhos da fé	Pe. Enivaldo Santos Vale
3    	15        	A sutil arte de ligar o foda-se	Mark Manson
3    	16        	O milagre da manhã	Hal Elrod
3    	17        	O poder da autorresponsabilidade	Paulo Vieira
3    	18        	A garota do lago	Charlie Donlea
3    	19        	O homem mais rico da Babilônia	George S. Clason
3    	19        	Minha história	Michelle Obama
4    	1         	Mais esperto que o diabo	Napoleon Hill
4    	2         	Faça o amor ser fácil	Thamires Hauch
4    	3         	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
4    	4         	Torto arado	Itamar Vieira Junior
4    	5         	A arte de manipular a sorte	Francisco Sosa
4    	6         	Pai rico, pai pobre - Edição de 20 anos	Robert T. Kiyosak
4    	7         	Corte de espinhos e rosas	Sarah J. Maas
4    	8         	A garota do lago	Charlie Donlea
4    	9         	Box Harry Potter	J. K. Rowling
4    	10        	Cientista do marketing	Dener Lippert
4    	11        	Do mil ao milhão	Thiago Nigro
4    	12        	A coragem de ser imperfeito	Brené Brown
4    	13        	Mindset	Carol Dweck
4    	14        	O milagre da manhã	Hal Elrod
4    	15        	O poder do hábito	Charles Duhigg
4    	16        	O poder da autorresponsabilidade	Paulo Vieira
4    	17        	O homem mais rico da Babilônia	George S. Clason
4    	18        	Box - Obras de George Orwell	George Orwell
4    	19        	As cinco linguagens do amor	Gary Chapman
4    	20        	Os segredos da mente milionária	T. Harv Eker
5    	1         	Mais esperto que o diabo	Napoleon Hill
5    	2         	Torto arado	Itamar Vieira Junior
5    	3         	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
5    	4         	A garota do lago	Charlie Donlea
5    	5         	Box Harry Potter	J. K. Rowling
5    	6         	A nova batalha	Padre Reginaldo Manzotti
5    	7         	A coragem de ser imperfeito	Brené Brown
5    	8         	O milagre da manhã	Hal Elrod
5    	9         	Todo caminho é sagrado	Beto Colombo
5    	10        	Corte de espinhos e rosas	Sarah J. Maas
5    	11        	Pai rico, pai pobre - Edição de 20 anos	Robert T. Kiyosak
5    	12        	Vermelho, branco e sangue azul	Casey McQuiston
5    	13        	A rainha vermelha	Victoria Aveyard
5    	14        	Minutos de sabedoria	C. Torres Pastorino
5    	15        	Do mil ao milhão	Thiago Nigro
5    	16        	O poder da autorresponsabilidade	Paulo Vieira
5    	17        	Confiar	Pe. Mário José Raimondi
5    	18        	Os segredos da mente milionária	T. Harv Eker
5    	19        	Mindset	Carol Dweck
5    	20        	O homem mais rico da Babilônia	George S. Clason
6    	1         	Mais esperto que o diabo	Napoleon Hill
6    	2         	Torto arado	Itamar Vieira Junior
6    	3         	Do mil ao milhão	Thiago Nigro
6    	4         	Desobedeça	Maurício Benvenutti
6    	5         	Pai rico, pai pobre - Edição de 20 anos	Robert T. Kiyosak
6    	6         	A garota do lago	Charlie Donlea
