Frequência	Nome do Livro
12	Mais esperto que o diabo
12	Mulheres que correm com os lobos (capa dura)
12	Amor & gelato
12	É assim que acaba
11	Torto arado
11	Nas pegadas da alemoa
10	Os sete maridos de Evelyn Hugo
7	Os segredos da mente milionária
7	O poder da autorresponsabilidade
7	O poder da cura
