Mês	Colocação	Nome do Livro	Autor
1    	1         	A sutil arte de ligar o foda-se	Mark Manson
1    	2         	Do mil ao milhão	Thiago Nigro
1    	3         	Mais esperto que o diabo	Napoleon Hill
1    	4         	Escravidão -Vol 1	Laurentino Gomes
1    	5         	Como fazer amigos e influenciar pessoas	Dale Carnegie
1    	6         	O milagre da manhã	Hal Elrod
1    	7         	Seja foda!	Caio Carneiro
1    	8         	A garota do lago	Charlie Donlea
1    	9         	Essa gente	Chico Buarque
1    	10        	Mindset	Carol Dweck
1    	11        	O poder da autorresponsabilidade	Paulo Vieira
1    	12        	21 lições para o século 21	Yuval Noah Harari
1    	13        	Como fazer amigos e Influenciar pessoas - Edição comemorativa 80 anos	Dale Carnegie
1    	14        	Sapiens	Yuval Noah Harari
1    	15        	Diário de um banana - Quebra tudo	Jeff Kinney
1    	16        	"Luccas Neto em ""Os aventureiros"""	Luccas Neto
1    	17        	Os segredos da mente milionária	T. Harv Eker
1    	18        	As aventuras de Mike	Gabriel Dearo / Manu Digilio
1    	19        	O poder do hábito	Charles Duhigg
1    	20        	F*deu geral	Mark Manson
2    	1         	A sutil arte de ligar o foda-se	Mark Manson
2    	2         	Do mil ao milhão	Thiago Nigro
2    	3         	Mais esperto que o diabo	Napoleon Hill
2    	4         	O milagre da manhã	Hal Elrod
2    	5         	Seja foda!	Caio Carneiro
2    	6         	Escravidão -Vol 1	Laurentino Gomes
2    	7         	Mindset	Carol Dweck
2    	8         	O poder da autorresponsabilidade	Paulo Vieira
2    	9         	Os segredos da mente milionária	T. Harv Eker
2    	10        	Como fazer amigos e influenciar pessoas	Dale Carnegie
2    	11        	Essa gente	Chico Buarque
2    	12        	Sapiens	Yuval Noah Harari
2    	13        	"Luccas Neto em ""Os aventureiros"""	Luccas Neto
2    	14        	21 lições para o século 21	Yuval Noah Harari
2    	15        	O poder do hábito	Charles Duhigg
2    	16        	A garota do lago	Charlie Donlea
2    	17        	O poder da ação	Paulo Vieira
2    	18        	Minha história	Michelle Obama
2    	19        	O homem de giz	C. J. Tudor
2    	20        	A revolução dos bichos	George Orwell
3    	1         	Mais esperto que o diabo	Napoleon Hill
3    	2         	A sutil arte de ligar o foda-se	Mark Manson
3    	3         	Do mil ao milhão	Thiago Nigro
3    	4         	O milagre da manhã	Hal Elrod
3    	5         	Seja foda!	Caio Carneiro
3    	6         	Os segredos da mente milionária	T. Harv Eker
3    	7         	O poder da autorresponsabilidade	Paulo Vieira
3    	8         	Felicidade	Mario Sergio Cortella / Leandro Karnal / Luis Felipe Pondé
3    	9         	Escravidão -Vol 1	Laurentino Gomes
3    	10        	Mindset	Carol Dweck
3    	11        	Sapiens	Yuval Noah Harari
3    	12        	21 lições para o século 21	Yuval Noah Harari
3    	13        	Minha história	Michelle Obama
3    	14        	O diário perdido de Gravity Falls	Alex Hirsch
3    	15        	Como fazer amigos e influenciar pessoas	Dale Carnegie
3    	16        	A garota do lago	Charlie Donlea
3    	17        	Especialista em pessoas	Tiago Brunet
3    	18        	"Luccas Neto em ""Os aventureiros"""	Luccas Neto
3    	19        	Ansiedade - Como enfrentar o mal do século	Augusto Cury
3    	20        	As aventuras de Mike	Gabriel Dearo / Manu Digilio
4    	1         	Mais esperto que o diabo	Napoleon Hill
4    	2         	Decida vencer	Eduardo Volpato
4    	3         	Tamo junto	Andréa Fernanda Morais
4    	4         	Sapiens ( edição de bolso)	Yuval Noah Harari
4    	5         	Luluca - No mundo dos desafios	Luluca
4    	6         	Todo santo dia	Andreza Carício
4    	7         	Box - Alice no país das maravilhas	Lewis Carroll
