Frequência	Nome do Livro
12	A sutil arte de ligar o foda-se
12	Mais esperto que o diabo
11	Do mil ao milhão
10	O milagre da manhã
10	O poder da autorresponsabilidade
8	Os segredos da mente milionária
8	Pai rico, pai pobre - Edição de 20 anos
8	Mulheres que correm com os lobos (capa dura)
8	Box Harry Potter
7	O poder do hábito
